Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/DAfJfuySQXX/?utm_source=ig_web_copy_link
18122716051376603,3998645601,,askimage,Masyaallah,3,0,0,09/29/2024 8:02 PM,,,,
18037935599176621,1508079202,,pipietepunk,"Maasyaa Allah 😍😍 Dari dulu udah suka liatnya, makin suka liatnya sejak berhijab 😍😍 semoga selalu Istiqomah mama Pau 🥰",0,0,0,09/29/2024 8:03 PM,,,,
17997143057699097,1734796120,,annycha_habibati,suka masyallah ka paula.❤️❤️❤️❤️,0,0,0,09/29/2024 8:03 PM,,,,
18440969833070934,44054267930,,srikndiputri,MasyaaAllah❤️,0,0,0,09/29/2024 8:03 PM,,,,
17989724525560096,2026333382,,rnissaaa__,mamapauu❤️,2,0,0,09/29/2024 8:04 PM,,,,
17909426360932501,2870915144,,pempek_twin,Mashaa Allah❤️,0,0,0,09/29/2024 8:04 PM,,,,
18091497433469829,2377365463,,ena_vanya,❤️❤️❤️,0,0,0,09/29/2024 8:06 PM,,,,
18048684814927598,68648722769,,iinsaputra._,MasyaAllah adem bgtttt❤️❤️😢😢😢😢,1,0,0,09/29/2024 8:06 PM,,,,
18066265030624122,2217668156,,faulaamelia24,Masyaallah kk ku cantik sekali ❤️,0,0,0,09/29/2024 8:08 PM,,,,
18029786348348180,2540577448,,rinappsari,"akhir2 ini seneng banget liat org pake outfit gini ,,,😍",0,0,0,09/29/2024 8:08 PM,,,,
18024769100162070,4390271768,,kikividic,🥹,0,0,0,09/29/2024 8:09 PM,,,,
17983239323740743,19087435179,,lani_lestiani,mau hijab skalipun model mh ttep model beda aja aurany kelas bngtt 😍😍,0,0,0,09/29/2024 8:09 PM,,,,
18056674276814510,33497656473,,hihie.tula13,AAAA.....MAMAPAAAU...MASYA ALLAH MASYA ALLAH😍,0,0,0,09/29/2024 8:10 PM,,,,
